GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TemperatureSeries,ua.edu.ucu.tempseries,TempSummaryStatistics,0,31,0,0,0,10,0,5,0,5
TemperatureSeries,ua.edu.ucu.tempseries,TemperatureSeriesAnalysis,0,416,2,46,0,80,2,37,0,15
